edge_index,mcu_pa9_time_s,pi_irq_marker_time_s,delta_us
423,0.4233693,0.4233728,3.50
424,0.4243692,0.4243727,3.50
425,0.4253691,0.4253726,3.50
426,0.4263691,0.4263726,3.50
427,0.4273690,0.4273725,3.50
428,0.4283689,0.4283724,3.50
429,0.4293689,0.4293724,3.50
430,0.4303688,0.4303723,3.50
431,0.4313688,0.4313722,3.40
432,0.4323687,0.4323722,3.50
433,0.4333686,0.4333721,3.50
434,0.4343686,0.4343720,3.40
435,0.4353685,0.4353720,3.50
436,0.4363684,0.4363719,3.50
437,0.4373684,0.4373719,3.50
438,0.4383683,0.4383718,3.50
439,0.4393683,0.4393717,3.40
440,0.4403682,0.4403717,3.50
441,0.4413681,0.4413716,3.50
442,0.4423681,0.4423715,3.40
443,0.4433680,0.4433715,3.50
444,0.4443679,0.4443714,3.50
445,0.4453679,0.4453714,3.50
446,0.4463678,0.4463713,3.50
447,0.4473677,0.4473712,3.50
448,0.4483677,0.4483712,3.50
449,0.4493676,0.4493711,3.50
450,0.4503676,0.4503710,3.40
451,0.4513675,0.4513710,3.50
452,0.4523674,0.4523709,3.50
453,0.4533674,0.4533708,3.40
454,0.4543673,0.4543708,3.50
455,0.4553672,0.4553707,3.50
456,0.4563672,0.4563774,10.20
457,0.4573671,0.4573706,3.50
458,0.4583671,0.4583757,8.60
459,0.4593670,0.4593705,3.50
460,0.4603669,0.4603705,3.60
461,0.4613669,0.4613703,3.40
462,0.4623668,0.4623703,3.50
463,0.4633667,0.4633703,3.60
464,0.4643667,0.4643701,3.40
465,0.4653666,0.4653701,3.50
466,0.4663665,0.4663700,3.50
467,0.4673665,0.4673700,3.50
468,0.4683664,0.4683699,3.50
469,0.4693664,0.4693698,3.40
470,0.4703663,0.4703697,3.40
471,0.4713662,0.4713697,3.50
472,0.4723662,0.4723696,3.40
473,0.4733661,0.4733696,3.50
474,0.4743660,0.4743695,3.50
475,0.4753660,0.4753695,3.50
476,0.4763659,0.4763694,3.50
477,0.4773658,0.4773693,3.50
478,0.4783658,0.4783692,3.40
479,0.4793657,0.4793692,3.50
